"","Distance","Rsquare","Number"
"1",100,0.409643382261472,605
"2",200,0.356186365147843,575
"3",300,0.357928084034514,523
"4",400,0.369642145139551,450
"5",500,0.324851061363836,400
"6",600,0.342074335165654,337
"7",700,0.324284041709883,337
"8",800,0.329167703317749,262
"9",900,0.317700119139905,274
"10",1000,0.363075458203244,227
"11",1100,0.333148827583505,242
"12",1200,0.298246707147022,193
"13",1300,0.323481011769807,178
"14",1400,0.35967152080917,164
"15",1500,0.318487588256967,146
"16",1600,0.33349169747704,148
"17",1700,0.374923459108399,140
"18",1800,0.352671539400301,132
"19",1900,0.345050174772197,119
"20",2000,0.363430026302476,115
"21",2100,0.274589722843039,91
"22",2200,0.369590985822051,98
"23",2300,0.338338987597304,78
"24",2400,0.344955461439907,95
"25",2500,0.366261069561107,74
"26",2600,0.350305208797646,71
"27",2700,0.34706274005303,71
"28",2800,0.321420988097924,62
"29",2900,0.273685996232408,70
"30",3000,0.363110329454422,55
"31",3100,0.336074278992873,68
"32",3200,0.346283534348055,45
"33",3300,0.338688884316093,65
"34",3400,0.319781796012558,58
"35",3500,0.352270967351713,45
"36",3600,0.352268866868268,46
"37",3700,0.41550463941792,44
"38",3800,0.347654862337032,37
"39",3900,0.297965064363173,32
"40",4000,0.416918762871193,50
"41",4100,0.312887245800319,38
"42",4200,0.342872989801285,28
"43",4300,0.239141203339465,31
"44",4400,0.409532454422834,35
"45",4500,0.275422174253255,22
"46",4600,0.467152532107073,30
"47",4700,0.446235975039925,20
"48",4800,0.320839759263967,21
"49",4900,0.459469401230296,20
"50",5000,0.446089637944631,24
"51",5100,0.297162322952341,21
"52",5200,0.366518069353728,28
"53",5300,0.282282266745117,22
"54",5400,0.495748984586157,15
"55",5500,0.36163477119777,20
"56",5600,0.28990380584488,14
"57",5700,0.476148312543288,17
"58",5800,0.38422124690576,15
"59",5900,0.323932173726659,23
"60",6000,0.401358393694326,15
"61",6100,0.329161697383171,11
"62",6200,0.475501307146525,18
"63",6300,0.298940688860513,10
"64",6400,0.254002771015558,14
"65",6500,0.377676224898417,12
"66",6600,0.385903465979484,15
"67",6700,0.475801571642657,11
"68",6800,0.30379902593115,16
"69",6900,0.0842337190581796,6
"70",7000,0.532487963656425,6
"71",7100,0.361788894351133,10
"72",7200,0.426870233155121,11
"73",7300,0.275673924317092,6
"74",7400,0.444308645102036,8
"75",7500,0.228495576625792,11
"76",7600,0.386359915570999,9
"77",7700,0.246677518894939,3
"78",7800,0.399302039053318,5
"79",7900,0.282239808179735,9
"80",8000,0.113628671806678,5
"81",8100,0.3506697892861,8
"82",8200,0.64566972725492,2
"83",8300,0.0972276500740163,3
"84",8400,0.288820408978808,7
"85",8500,0.261219472712167,4
"86",8600,0.287223915486335,7
"87",8700,0.497091587556854,10
"88",8800,0.259418212842033,3
"89",8900,0.136677875698933,5
"90",9000,0.418053492231564,7
"91",9100,0.182494580959044,6
"92",9200,0.395037279654698,4
"93",9300,0.614168561889807,6
"94",9400,0.144643129353582,4
"95",9500,0.160105226485866,4
"96",9600,0.03276222144728,2
"97",9700,0.0865497358663134,7
"98",9800,0.0793257764950845,3
"99",9900,0.447425267763315,9
