taxa,PC1,PC2,PC3
FBR1N1,-39.7068156821513,-32.9526585703685,-22.3935813821241
FBR1N100,-43.673561963144,-47.8317300509519,-31.1539456691429
FBR1N101,-37.2166825486971,-35.2892864426779,-20.7412315661872
FBR1N102,-44.0052483877742,-39.3342816235789,-1.4068343825453
FBR1N103,-36.978412878698,-44.4731476067481,4.66233542544971
FBR1N11,-35.786988593947,-47.584794677645,-2.21079032174235
FBR1N12,-42.5225655277572,-26.2430437324825,-6.34179977780642
FBR1N13,-38.2999144231055,-45.6735349929784,-11.1460953408298
FBR1N14,-35.8877412008979,-48.9823916136782,16.7728448526788
FBR1N16,-41.9186411337507,-26.8363217235746,7.73325283405908
FBR1N17,-36.7726312352558,-40.1817386433097,23.8635462970477
FBR1N19,-42.0674072001229,-43.6220454767503,17.7103724813009
FBR1N2,-45.8692607039976,-42.6311870535202,-0.825912712519058
FBR1N20,-38.3958493533347,-32.1199177207438,4.69297672016173
FBR1N21,-37.7126410849354,-47.5126924860605,-30.902733549764
FBR1N22,-41.8404044098811,-39.858930995079,-16.3563163181522
FBR1N23,-41.5543268941431,-40.5294917235607,31.3501492757794
FBR1N24,-35.8275902358982,-47.2064809436979,30.4857882800091
FBR1N25,-45.0804526257608,-39.448162787629,3.5704626910891
FBR1N27,-40.5190694297787,-45.8872192513632,-20.6493502994817
FBR1N28,-45.2688159009843,-38.5750349750165,-11.4222446246169
FBR1N3,-38.8381693791644,-43.0101814439197,-9.77467984238789
FBR1N31,-44.6354566747118,-41.4016407392985,14.2018766287075
FBR1N32,-36.797077026599,-42.3899222973333,-24.7408427962975
FBR1N33,-36.6263663782574,-42.5750995381321,-20.7477726058927
FBR1N34,-41.2040958257822,-30.6668477761479,-24.5946423568078
FBR1N35,-44.1334727021301,-41.819836725567,30.2862326082461
FBR1N38,-36.5808089177457,-42.9031972725179,8.93702392301465
FBR1N39,-40.3429466831072,-44.0116296550378,-1.55548441531793
FBR1N4,-40.7415737418236,-47.5497748256637,-27.269886845622
FBR1N40,-36.4998965759694,-46.3410124423138,34.5554742252445
FBR1N41,-35.6321161875443,-40.6240756450897,-20.357099106842
FBR1N43,-39.3951643032886,-42.7557825729041,2.11004868580371
FBR1N45,-40.6694802706066,-34.2171517379801,-33.3639794538645
FBR1N47,-43.3919323012662,-40.5004689907574,0.784883114955874
FBR1N48,-35.025941626095,-43.82082919449,-23.1618540797451
FBR1N50,-42.2142473778834,-42.6730674461382,-21.3909198298035
FBR1N56,-42.8775699721869,-30.7739003166393,-7.34174111213285
FBR1N58,-39.4456497440784,-54.914822877283,19.1417294334779
FBR1N60,-37.0300371865176,-40.8380473732952,3.39388481841554
FBR1N62,-37.4620131534512,-43.1931689055231,27.9069735894349
FBR1N63,-40.0753349601503,-35.8933371828274,6.75467506232711
FBR1N64,-39.8018023984152,-40.4085420538302,-7.93570170299954
FBR1N67,-38.8954510974986,-33.5506211326439,-16.7543900226332
FBR1N68,-46.0703273878228,-38.595584549047,-31.6983994670645
FBR1N69,-42.5484887675096,-36.6568493192402,-13.0880484456217
FBR1N7,-38.518381804073,-39.1738911878502,-1.97469415402814
FBR1N71,-39.5482891944475,-47.813882797273,15.3957497916448
FBR1N73,-30.9949531159192,-35.8699205103509,-22.6507290880026
FBR1N75,-36.8033173927818,-43.9689039993931,-4.6020504628672
FBR1N77,-40.1529295977534,-38.7168959500568,18.3671366838614
FBR1N78,-39.8839740001061,-46.4075544293296,-14.9578472097857
FBR1N8,-36.4647915845416,-47.8324144196013,11.3191371404438
FBR1N80,-41.0152810946655,-45.381900542681,3.61617613602286
FBR1N82,-38.6235003325553,-42.6625891985774,9.16399699583345
FBR1N83,-45.2246521443803,-33.02639678992,4.63606889870486
FBR1N84,-35.1042145390768,-53.4305865053924,0.201223040157643
FBR1N86,-30.3757746389828,-39.4539670709708,14.3624213373401
FBR1N88,-43.2221417016551,-41.7531388998946,-18.0313481996485
FBR1N89,-39.2316394019804,-37.9334017578629,1.90548254571197
FBR1N9,-42.4110610461947,-31.7231756863039,-25.1354450384798
FBR1N90,-37.0169161371596,-29.421439185935,-25.5551007642259
FBR1N91,-40.7020424600745,-39.6472784963165,2.92680294930328
FBR1N92,-41.5856719499835,-47.2286917975307,11.1419055413752
FBR1N94,-46.1599677887226,-44.8609028960902,4.32830921765544
FBR1N97,-35.6159855928542,-39.6600934710911,-4.20990064511176
FBR1N98,-40.1980583437071,-39.5170510965304,27.2240171217897
FBR1N99,-38.8882990182926,-33.1109405698232,3.00216448215862
FBR2N1,-40.1523705740009,-44.2025302845714,5.61286836244932
FBR2N10,-43.8363708890485,-41.5664365664289,-5.9799341581004
FBR2N101,-45.2508394276236,-36.4041367152424,-21.6768323731904
FBR2N102,-35.5488306742991,-43.0048584285877,-6.36761715821761
FBR2N11,-39.9572735054752,-40.471738354039,-14.7655445329745
FBR2N12,-39.0620769187976,-45.8586732940613,-19.7032564758908
FBR2N13,-41.8251926135021,-44.6443976700112,-4.30216111716366
FBR2N16,-37.0760453816917,-40.0099956697689,-15.8939471017625
FBR2N17,-33.9619224432997,-51.998316009308,-22.4512695246877
FBR2N18,-40.6098244543317,-39.7192888867777,14.5662551872148
FBR2N2,-27.18341488511,-17.1818812865894,-7.14773924330065
FBR2N20,-36.4359566439964,-52.2222627913664,9.07993615413821
FBR2N21,-39.1260595628787,-39.6192038398531,27.9823492981456
FBR2N23,-35.8914150850405,-27.1763335857706,1.39715011626047
FBR2N24,-37.7520412748177,-40.5935765181429,-0.194925565103965
FBR2N26,-39.3641265797815,-38.7784460180776,24.7532937816484
FBR2N27,-32.9069279883996,-49.5717871487271,-10.6613223302285
FBR2N28,-41.0754190854764,-45.2862008133757,27.2532662168609
FBR2N3,-35.884443510526,-36.5715068076805,4.0827917033083
FBR2N30,-43.0325477849936,-47.7891320109534,41.1237119817007
FBR2N32,-40.0146639781307,-44.2214702175938,-11.4366634068257
