"Genotype","predicted.value","std.error","status"
"BIR1N10",0.950723541615793,0.215467415794608,"Estimable"
"BIR1N100",0.963146088250711,0.205924472756683,"Estimable"
"BIR1N101",0.978265708075556,0.215264824465118,"Estimable"
"BIR1N102",0.818278938478579,0.208453475826473,"Estimable"
"BIR1N103",0.906181651431052,0.223399471487914,"Estimable"
"BIR1N106",0.938089212101506,0.215641145308142,"Estimable"
"BIR1N107",1.00244768174067,0.220204849247833,"Estimable"
"BIR1N108",0.949308153260166,0.213440690692415,"Estimable"
"BIR1N109",0.946800383168464,0.230143203946408,"Estimable"
"BIR1N11",0.91473318959845,0.212312379624721,"Estimable"
"BIR1N110",0.879924967046615,0.202535808022738,"Estimable"
"BIR1N112",0.886691584768254,0.200443708475555,"Estimable"
"BIR1N113",0.928714532110091,0.218405670780478,"Estimable"
"BIR1N115",1.0368797981235,0.209452910720673,"Estimable"
"BIR1N117",0.9946798619841,0.195625749520034,"Estimable"
"BIR1N118",0.953249532435113,0.207634677156397,"Estimable"
"BIR1N12",0.886985369726518,0.209886410656902,"Estimable"
"BIR1N120",0.961778236151459,0.210578346128306,"Estimable"
"BIR1N122",0.916800164057205,0.219355454453168,"Estimable"
"BIR1N128",0.978086056115745,0.215290805222958,"Estimable"
"BIR1N13",0.894915136185867,0.217509594471529,"Estimable"
"BIR1N133",0.936884084196314,0.212423948157568,"Estimable"
"BIR1N134",0.921310635336349,0.216079783248061,"Estimable"
"BIR1N136",1.02457674698652,0.207293192556197,"Estimable"
"BIR1N137",0.879671962590558,0.207579375774594,"Estimable"
"BIR1N14",1.04885320209643,0.203484960865919,"Estimable"
"BIR1N140",0.962672104045665,0.225266233541742,"Estimable"
"BIR1N141",0.862047772976642,0.2104464158718,"Estimable"
"BIR1N145",0.987754678819116,0.209710056181275,"Estimable"
"BIR1N146",0.928311123064126,0.209265613981405,"Estimable"
"BIR1N147",0.886939291091777,0.205006249796079,"Estimable"
"BIR1N148",0.950289085891327,0.211112420945818,"Estimable"
"BIR1N149",0.897805427754497,0.20745921535702,"Estimable"
"BIR1N153",0.979117816953166,0.217387395735904,"Estimable"
"BIR1N16",0.960727859005335,0.222280681071921,"Estimable"
"BIR1N160",0.951616651126662,0.201288252874372,"Estimable"
"BIR1N163",0.926455931519738,0.209145654147579,"Estimable"
"BIR1N166",0.9706967200845,0.218953978250535,"Estimable"
"BIR1N167",0.862131242250158,0.212673887198122,"Estimable"
"BIR1N169",0.901671273770039,0.216431106835685,"Estimable"
"BIR1N17",0.946765837513546,0.214976666071052,"Estimable"
"BIR1N171",0.936781710937126,0.207633074110103,"Estimable"
"BIR1N175",0.972670717710082,0.202910072306818,"Estimable"
"BIR1N176",0.833330299252599,0.208537704279775,"Estimable"
"BIR1N177",0.976643934350795,0.205965300288016,"Estimable"
"BIR1N18",0.946860390185571,0.214924595520332,"Estimable"
"BIR1N181",0.953598718710607,0.220921882699784,"Estimable"
"BIR1N182",0.947611285418558,0.207902727219432,"Estimable"
"BIR1N185",0.902380668570135,0.211929175618623,"Estimable"
"BIR1N186",0.966366131093812,0.211762378631293,"Estimable"
"BIR1N187",1.01655411093672,0.223910814512602,"Estimable"
"BIR1N189",0.858217658345161,0.210684001111529,"Estimable"
"BIR1N190",0.811642368819292,0.21213700109926,"Estimable"
"BIR1N195",0.913929170454958,0.222127792540609,"Estimable"
"BIR1N198",0.994697177706105,0.219387671610356,"Estimable"
"BIR1N200",0.99603311197636,0.217658621420291,"Estimable"
"BIR1N204",0.942967813418249,0.214240213162783,"Estimable"
"BIR1N205",0.967013148986845,0.21029874419862,"Estimable"
"BIR1N206",1.04079915422629,0.22593907269392,"Estimable"
"BIR1N207",0.92000990253477,0.212958393944084,"Estimable"
"BIR1N208",1.0323454980417,0.227636387794335,"Estimable"
"BIR1N211",0.91791994188652,0.222221972550935,"Estimable"
"BIR1N213",0.952130847385946,0.219051551577895,"Estimable"
"BIR1N217",0.905866733266839,0.204824361143091,"Estimable"
"BIR1N22",0.933836010055974,0.222338405668463,"Estimable"
"BIR1N220",0.881433229367227,0.214220079804716,"Estimable"
"BIR1N221",0.96387701858102,0.209369370795408,"Estimable"
"BIR1N223",1.05276668840705,0.225147560152382,"Estimable"
"BIR1N224",0.96935327608985,0.218323062888813,"Estimable"
"BIR1N23",0.947105235291985,0.21300633984149,"Estimable"
"BIR1N232",0.96839769640566,0.213804336044516,"Estimable"
"BIR1N234",0.992235374069662,0.219499330385867,"Estimable"
"BIR1N235",0.992001549821627,0.22159156247187,"Estimable"
"BIR1N236",0.924681396749302,0.212031801144718,"Estimable"
"BIR1N237",0.937273043973249,0.223260389322173,"Estimable"
"BIR1N239",0.861337024597131,0.207981457269026,"Estimable"
"BIR1N24",0.911727294563262,0.20218475679498,"Estimable"
"BIR1N241",1.00097283926712,0.205182542942469,"Estimable"
"BIR1N242",0.920615043556588,0.199171111637158,"Estimable"
"BIR1N244",0.906627379422707,0.214044442501867,"Estimable"
"BIR1N247",0.933353517896307,0.211256495028279,"Estimable"
"BIR1N248",0.967265624816312,0.216047077024482,"Estimable"
"BIR1N25",0.909349496696189,0.204738275013644,"Estimable"
"BIR1N250",0.930999706122735,0.203599414207103,"Estimable"
"BIR1N29",0.924815171630821,0.21223941043277,"Estimable"
"BIR1N3",0.888090705171604,0.208403369887171,"Estimable"
"BIR1N31",0.934066832463701,0.201778552408786,"Estimable"
"BIR1N32",1.04561714294528,0.21374808166276,"Estimable"
"BIR1N35",0.934634344622482,0.218132450216243,"Estimable"
"BIR1N39",1.00745294767946,0.220687896798574,"Estimable"
"BIR1N44",0.853430178267058,0.216128549052131,"Estimable"
"BIR1N45",0.96970248723736,0.208789732914857,"Estimable"
"BIR1N47",1.02359467983323,0.220163197951568,"Estimable"
"BIR1N48",0.89481953496872,0.21384306650653,"Estimable"
"BIR1N51",0.939998858681042,0.225707896897964,"Estimable"
"BIR1N53",0.994938986108853,0.224078710624444,"Estimable"
"BIR1N54",0.969318717128543,0.219963362839971,"Estimable"
"BIR1N56",1.03590410263767,0.205538641529193,"Estimable"
"BIR1N61",1.03553414589042,0.227434198433716,"Estimable"
"BIR1N62",0.967257445740974,0.216529985611072,"Estimable"
"BIR1N63",0.95694935695267,0.231054004342071,"Estimable"
"BIR1N64",0.917683493880992,0.213223604521788,"Estimable"
"BIR1N65",0.958797191069632,0.220625523378786,"Estimable"
"BIR1N66",0.900458445109601,0.224257403978452,"Estimable"
"BIR1N68",0.890779385704125,0.232140197365294,"Estimable"
"BIR1N71",0.912642593984869,0.219631555247977,"Estimable"
"BIR1N73",1.01082496898148,0.217465004819069,"Estimable"
"BIR1N76",0.895973312197674,0.206962620436038,"Estimable"
"BIR1N77",0.924951585875007,0.209853170199534,"Estimable"
"BIR1N79",0.944021698597006,0.216848675744817,"Estimable"
"BIR1N80",0.819574334432195,0.202874947849896,"Estimable"
"BIR1N81",1.05764730519991,0.203930540372391,"Estimable"
"BIR1N83",0.907922262263546,0.204907723061108,"Estimable"
"BIR1N84",0.92202584054548,0.212657184526123,"Estimable"
"BIR1N85",0.849257059096545,0.217213876653064,"Estimable"
"BIR1N86",0.991534690844266,0.218931701418185,"Estimable"
"BIR1N87",0.975777987972455,0.220008333318697,"Estimable"
"BIR1N88",0.972606320832548,0.226531865124372,"Estimable"
"BIR1N89",0.873567220524641,0.210064882454518,"Estimable"
"BIR1N9",0.940186796001638,0.206357511395111,"Estimable"
"BIR1N90",0.927370254600764,0.214621126605687,"Estimable"
"BIR1N91",0.955809059142638,0.205517008384589,"Estimable"
"BIR1N92",0.944746804580453,0.219736062914745,"Estimable"
"BIR1N93",0.928037031181916,0.207910099970827,"Estimable"
"BIR1N94",0.909396186846454,0.208277227246817,"Estimable"
"BIR1N95",0.939720596694207,0.219933808756956,"Estimable"
"BIR1N96",0.909248196940771,0.218674883107556,"Estimable"
"BIR1N97",0.962643050584294,0.21264290086308,"Estimable"
"BIR1N98",0.834766795615587,0.213454347724986,"Estimable"
"BIR1N99",0.898684022128018,0.213890443832873,"Estimable"
"BIR2N1",0.863034276094352,0.210738221731477,"Estimable"
"BIR2N101",0.950094403130754,0.219590211749873,"Estimable"
"BIR2N103",0.874816610283289,0.206217549028532,"Estimable"
"BIR2N104",0.894630874904306,0.212451450515004,"Estimable"
"BIR2N107",0.933222232701031,0.217982714682531,"Estimable"
"BIR2N108",0.971485881343582,0.214950709341805,"Estimable"
"BIR2N109",0.970387121064776,0.220506156083649,"Estimable"
"BIR2N11",0.93001045223953,0.218274270672245,"Estimable"
"BIR2N110",0.920101022957933,0.216595336649443,"Estimable"
"BIR2N111",0.867990304896167,0.214234834013754,"Estimable"
"BIR2N112",1.01790883827511,0.218371295575218,"Estimable"
"BIR2N113",0.91334707587001,0.211530263208853,"Estimable"
"BIR2N119",0.955552551565354,0.214294634402558,"Estimable"
"BIR2N12",1.03585970972762,0.198456049519058,"Estimable"
"BIR2N120",0.988240704513114,0.209119655193612,"Estimable"
"BIR2N121",0.996989659503318,0.213798901720039,"Estimable"
"BIR2N126",0.937578894896865,0.209559777185688,"Estimable"
"BIR2N127",0.921377055448082,0.213760545485144,"Estimable"
"BIR2N130",0.833179104505224,0.221758857651919,"Estimable"
"BIR2N134",0.950813982363051,0.222775804082788,"Estimable"
"BIR2N139",0.962810184469124,0.221607762689081,"Estimable"
