"","Distance","Rsquare","Number"
"1",100,0.575400957686185,459
"2",200,0.574362632984893,450
"3",300,0.56371513235742,389
"4",400,0.537316462517977,351
"5",500,0.542219829808304,280
"6",600,0.555127870867528,277
"7",700,0.568988933992908,266
"8",800,0.58968173402515,232
"9",900,0.540686632435907,218
"10",1000,0.585413328936414,213
"11",1100,0.526949043060924,222
"12",1200,0.530832086263146,175
"13",1300,0.57363355543166,171
"14",1400,0.593904819647167,159
"15",1500,0.489848919706299,125
"16",1600,0.589751416234945,126
"17",1700,0.548943561235742,124
"18",1800,0.519675349942618,126
"19",1900,0.52257484793428,115
"20",2000,0.532206595025991,114
"21",2100,0.560195821216917,95
"22",2200,0.476482219152513,118
"23",2300,0.594203360131868,97
"24",2400,0.530715385187009,85
"25",2500,0.553454973183731,81
"26",2600,0.593970612687792,77
"27",2700,0.564965875033592,72
"28",2800,0.532805509013134,66
"29",2900,0.519762005586953,75
"30",3000,0.549288312527385,61
"31",3100,0.616266944882024,67
"32",3200,0.569562756262265,63
"33",3300,0.544371972984144,57
"34",3400,0.593328531780251,59
"35",3500,0.553275851769786,50
"36",3600,0.615403505699829,47
"37",3700,0.529014749542337,50
"38",3800,0.476877135098547,46
"39",3900,0.454783797435135,36
"40",4000,0.599242520187182,43
"41",4100,0.51566470353956,34
"42",4200,0.558324611299103,36
"43",4300,0.488530934625461,43
"44",4400,0.566628502958264,37
"45",4500,0.506984777066987,32
"46",4600,0.464959879139609,30
"47",4700,0.486153849204094,22
"48",4800,0.425433854842628,33
"49",4900,0.660751979328256,27
"50",5000,0.666779343495703,26
"51",5100,0.397620297366259,26
"52",5200,0.40311947732488,28
"53",5300,0.61371231506966,26
"54",5400,0.69029229605603,25
"55",5500,0.575319447013635,20
"56",5600,0.674925782994717,18
"57",5700,0.500788356107407,22
"58",5800,0.594982071921375,16
"59",5900,0.482090421760184,21
"60",6000,0.456342534059905,21
"61",6100,0.60786866683903,18
"62",6200,0.536469937689438,17
"63",6300,0.521723458002855,24
"64",6400,0.561708874592945,13
"65",6500,0.517211444418354,15
"66",6600,0.777791362303992,12
"67",6700,0.552533260851133,16
"68",6800,0.645126610016611,19
"69",6900,0.716774115188932,11
"70",7000,0.537416726122219,9
"71",7100,0.597409237732154,15
"72",7200,0.782307877676031,7
"73",7300,0.548258331951176,13
"74",7400,0.580886770425676,13
"75",7500,0.616588379123542,17
"76",7600,0.616648140828617,11
"77",7700,0.53780972688793,17
"78",7800,0.508491307786298,8
"79",7900,0.402279353368152,9
"80",8000,0.502616557156474,6
"81",8100,0.620290455315589,10
"82",8200,0.722563088606185,4
"83",8300,0.398694478776603,10
"84",8400,0.68898211798216,5
"85",8500,0.528016586377226,9
"86",8600,0.425146944303297,7
"87",8700,0.829052887738285,2
"88",8800,0.44474138305838,7
"89",8900,0.372028624723898,4
"90",9000,0.517112217267314,3
"91",9100,0.385425496014824,4
"92",9200,0.125175590594993,4
"93",9300,0.456897416824981,5
"94",9400,0.462531101995908,4
"95",9500,0.508564019481212,6
"96",9600,0.282684913784406,3
"97",9700,0.68166644575389,7
"98",9800,0.650729462040179,6
"99",9900,0.658283804131844,6
