"Taxa","co"
"FBR1N1",1
"FBR1N100",1
"FBR1N101",1
"FBR1N102",1
"FBR1N103",0
"FBR1N11",1
"FBR1N12",0
"FBR1N13",0
"FBR1N14",1
"FBR1N16",0
"FBR1N17",0
"FBR1N19",1
"FBR1N2",1
"FBR1N20",1
"FBR1N21",1
"FBR1N22",0
"FBR1N23",1
"FBR1N24",0
"FBR1N25",1
"FBR1N27",0
"FBR1N28",0
"FBR1N3",1
"FBR1N31",1
"FBR1N32",1
"FBR1N33",1
"FBR1N34",1
"FBR1N35",0
"FBR1N38",1
"FBR1N39",0
"FBR1N4",1
"FBR1N40",1
"FBR1N41",1
"FBR1N43",0
"FBR1N45",0
"FBR1N47",0
"FBR1N48",1
"FBR1N50",1
"FBR1N56",0
"FBR1N58",1
"FBR1N60",1
"FBR1N62",1
"FBR1N63",0
"FBR1N64",1
"FBR1N67",1
"FBR1N68",1
"FBR1N69",1
"FBR1N7",1
"FBR1N71",1
"FBR1N73",0
"FBR1N75",0
"FBR1N77",1
"FBR1N78",1
"FBR1N8",0
"FBR1N80",1
"FBR1N82",1
"FBR1N83",1
"FBR1N84",0
"FBR1N86",1
"FBR1N88",1
"FBR1N89",1
"FBR1N9",0
"FBR1N90",1
"FBR1N91",1
"FBR1N92",1
"FBR1N94",0
"FBR1N97",1
"FBR1N98",1
"FBR1N99",0
"FBR2N1",1
"FBR2N10",1
"FBR2N101",0
"FBR2N102",0
"FBR2N11",0
"FBR2N12",1
"FBR2N13",1
"FBR2N16",0
"FBR2N17",1
"FBR2N18",0
"FBR2N2",1
"FBR2N20",1
"FBR2N21",1
"FBR2N23",0
"FBR2N24",1
"FBR2N26",1
"FBR2N27",1
"FBR2N28",0
"FBR2N3",0
"FBR2N30",1
"FBR2N32",0
"FBR2N35",1
"FBR2N37",1
"FBR2N38",1
"FBR2N40",1
"FBR2N41",0
"FBR2N42",1
"FBR2N43",1
"FBR2N44",1
"FBR2N45",1
"FBR2N46",1
"FBR2N48",1
"FBR2N5",1
"FBR2N50",1
"FBR2N51",0
"FBR2N53",1
"FBR2N55",0
"FBR2N56",0
"FBR2N57",1
"FBR2N58",1
"FBR2N59",0
"FBR2N61",1
"FBR2N62",1
"FBR2N64",0
"FBR2N66",1
"FBR2N67",1
"FBR2N68",0
"FBR2N7",1
"FBR2N71",0
"FBR2N72",0
"FBR2N73",0
"FBR2N75",0
"FBR2N78",0
"FBR2N8",1
"FBR2N80",0
"FBR2N81",0
"FBR2N83",0
"FBR2N86",1
"FBR2N87",1
"FBR2N88",0
"FBR2N89",0
