"Genotype","predicted.value","std.error","status","AVSED","h2_Cullis","Gvar","pop","co_loc","pop_BLUE"
"FBR1N1",16.2972639103356,2.83341048309406,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N100",17.1296715390028,2.84765605360235,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N101",17.3386242488367,2.84462076311669,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N102",14.0253463214612,2.84661217888615,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N103",26.2731575682473,2.84914644745599,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N11",13.8161420152923,2.83976177048382,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N12",25.620745040944,2.84271214005779,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N13",20.5446386691488,2.84003764872226,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N14",19.0642422158623,2.84518710699186,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N16",24.4476448947767,2.83251125353106,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N17",25.9304519997933,2.83687556457531,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N19",17.1763018957757,2.84658903075924,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N2",15.0250951005528,2.85149093314252,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N20",18.3574192326324,2.83974654540686,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N21",16.7413191286379,2.84340493779888,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N22",21.3813263816366,2.84392330511555,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N23",19.1401152605446,2.83476075681439,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N24",26.791053791982,2.84551970478282,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N25",17.0733827082204,2.84439481149293,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N27",21.3470924617835,2.90593604544318,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N28",23.0402054846347,2.84210131288179,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N3",15.7594930341342,2.83060870960896,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N31",15.9213297007156,2.83973936795693,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N32",15.6102617416563,2.8471494895018,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N33",16.7536974864778,2.80789667768346,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N34",15.7467093101634,2.84004769989163,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N35",23.3125070802899,2.8481764595662,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N38",22.3372780323009,2.8398331365849,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N39",23.2718249269211,2.84072365134106,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N4",21.0961556032841,2.84370241689833,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N40",17.1216156094342,2.83941040813877,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N41",17.8103728078046,2.83822016887339,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N43",25.3747776718055,2.83498158615502,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N45",25.6584615978342,2.91860956748936,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N47",17.9225678958448,2.8354350638163,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N48",15.333628250669,2.83229200756727,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N50",14.4561037387507,2.84335439685558,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N56",22.8052684655763,2.84366163016405,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N58",18.5854362177482,2.84844843541568,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N60",16.7164861763049,2.87654728090597,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N62",15.0294905490639,2.83383881872856,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N63",20.4733996677345,2.84454843625929,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N64",18.3698951935847,2.84108847017507,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N67",19.4650268235062,2.84144880272664,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N68",14.9953033832602,2.84110205192183,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N69",18.7604009329073,2.84887714930667,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N7",19.2468730347396,2.8371947665343,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N71",14.7601323688174,2.85068848793203,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N73",25.0461272803643,2.84170948311041,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N75",19.4139312084692,2.84449805706592,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N77",16.8518264381863,2.84196067256455,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N78",18.0584875145075,2.84414173714874,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N8",16.1757012221373,2.84433509412555,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N80",17.2254209234214,2.84729846919142,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N82",20.4476728482512,2.84495521457347,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N83",16.9512366698209,2.84252771330021,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N84",22.6588788168518,2.84263880006669,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N86",16.893844463516,2.84644898212861,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N88",17.1945647746576,2.84878370211277,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
