"Genotype","predicted.value","std.error","status","AVSED","h2_Cullis","Gvar","pop","co_loc","pop_BLUE"
"FBR1N1",0.00611526024487829,0.0009194675000614,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N100",0.00812330332539325,0.000973102063070083,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N101",0.00803999451543814,0.000957416649460712,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N102",0.00660177038576751,0.000986433917755842,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N103",0.00690600951361678,0.000952114522518918,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N11",0.00674308697398885,0.00097098472401506,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N12",0.00603202580355446,0.000951544357066504,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N13",0.00733714414100942,0.000972879335196348,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N14",0.0059260089298033,0.000952059925832824,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N16",0.00676919491348912,0.000929714916437061,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N17",0.00486421582523451,0.000927468114218453,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N19",0.00609803703735947,0.00098698738437227,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N2",0.00527528532970118,0.000958874083868582,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N20",0.00665946730035306,0.000956509112360813,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N21",0.00635268019885888,0.000974655429427764,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N22",0.00635913208548228,0.000953354315963302,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N23",0.0048523064789339,0.000951538983258955,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N24",0.00617527861369401,0.000964465449895029,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N25",0.00507439003693733,0.000972725051888318,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N27",0.00774548172137612,0.000948536793427036,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N28",0.00641389507413476,0.00093618584350223,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","0",0.00961649533800119
"FBR1N3",0.00712307820041972,0.000923748932932959,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
"FBR1N31",0.00575591661092987,0.000967998608479603,"Estimable",0.00139486289145554,0.485998401349777,1.89264244612176e-06,"gxr","1",0.00961649533800119
