"Genotype","predicted.value","std.error","status","AVSED","h2_Cullis","Gvar","pop","co_loc","pop_BLUE"
"FBR1N1",866.105842649797,198.465308798062,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N100",687.200344807059,201.908667076354,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N101",602.254341344976,201.430926191948,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N102",542.961918244866,202.957976722728,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N103",1007.87592124522,202.671688932205,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N11",590.793300670325,200.953961267552,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N12",1325.41073053814,200.961404238733,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N13",1063.36473713212,202.008581456197,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N14",712.550581018299,202.451164977835,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N16",886.956335137654,197.733786205962,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N17",1193.76236195711,197.846019071306,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N19",506.885532529535,203.433835223889,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N2",707.90612293301,203.440404137844,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N20",742.02583052932,200.039708043971,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N21",733.946699802708,201.258675648773,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N22",1054.16548530525,201.429130200334,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N23",1075.95108065908,199.239910909311,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N24",1342.85032721272,203.148419419014,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N25",846.996014702042,203.049377826879,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N27",1078.45594171681,200.089840856936,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N28",1252.61170070254,198.99109141173,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N3",582.343817475749,197.300999693282,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N31",701.173152211638,201.22077875466,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N32",487.751216291723,201.5339675362,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N33",556.826334390918,190.80113092071,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N34",857.045295755499,200.44429328948,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N35",1167.02173828496,205.774515351194,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N38",956.197642302005,200.018751508793,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N39",938.095413781713,199.909449310083,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N4",864.053326054036,201.613249012145,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N40",805.988035283061,201.221997941802,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N41",839.866303065382,198.434005046899,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N43",1382.02888068388,198.582841467435,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N45",1243.18659020082,202.909991660922,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N47",752.113307750933,199.943466813452,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N48",529.616698239269,197.858664775172,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N50",587.994070285775,200.906067430239,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N56",1217.71212312575,200.454111707335,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N58",978.155613203501,201.185803640199,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N60",590.895278948258,201.216988173081,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N62",777.468482040141,198.245432128017,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N63",1190.34799677536,199.498014945305,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N64",516.686820870064,200.226093297726,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N67",832.694422894152,197.898295463103,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N68",590.998153595232,199.933248859125,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N69",706.983146272333,202.933593495552,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N7",863.506211092683,197.564414530532,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N71",455.807543089184,202.431245282843,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N73",1366.72182652531,199.347073665952,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N75",727.3809352991,202.604090840303,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N77",766.150617481861,200.407645241684,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N78",1009.13069145102,200.682031126838,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N8",590.564800564574,200.368768334852,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N80",502.058661927173,204.049188825569,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N82",1275.59139389128,201.573435333755,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N83",405.683164827856,201.135866630452,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N84",1060.67828322519,199.259854005074,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N86",822.962363999044,202.400547950332,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N88",746.142832147081,202.033826081364,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N89",626.255555502547,198.194768115712,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N9",1038.65178140252,199.847504162363,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N90",773.56131375434,198.789987007642,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N91",682.866279358531,198.87396521461,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N92",769.03196828222,200.530589257572,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N94",1314.91918624532,199.98244432465,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR1N97",867.536568370241,200.252370766396,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N98",724.363104975177,201.769003791448,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR1N99",1352.95858835024,200.838820443013,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N1",743.810859213371,200.813366961341,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N10",667.828840772639,201.299674083036,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N101",935.111704543455,201.069658843866,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N102",1199.35466072141,203.190277257134,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N11",1181.36202928323,202.843710051328,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N12",514.370723254399,198.445844714569,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N13",560.649761105097,201.265693201121,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N16",1052.39784418885,200.390014081123,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N17",521.202487777216,201.45415353974,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N18",1260.86801034781,200.646297890467,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N2",505.070759747027,193.550492191442,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N20",825.401049246034,202.246242526972,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N21",1204.46340370487,199.816553555961,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N23",1255.42508844866,202.384360039258,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N24",755.220637104401,198.993975045677,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N26",747.368592082921,200.798211769847,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N27",494.536675537676,200.759140879301,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N28",1201.24186579055,201.211137973202,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N3",1127.48387983281,200.358795597411,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N30",924.795071698377,199.988445102889,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N32",1135.91129750793,203.131692898565,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N35",1151.91332266213,196.14675440344,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N37",793.863493031907,203.999359931685,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N38",683.881541007192,201.590832447373,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N40",1019.49271904113,200.499130544586,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N41",1315.60708835528,201.134955906562,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N42",601.422735793635,203.22813069826,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N43",836.483228795106,200.358989884721,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N44",908.855898548849,200.177143626658,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N45",705.770701522377,200.205091377766,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N46",719.750740378396,202.601099615006,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N48",745.202021040978,200.865628595857,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N5",729.061271846667,203.34420647746,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N50",717.117242037674,202.545233207137,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N51",1396.82386727793,197.873666413261,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N53",803.566764886498,200.544335198166,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR2N55",1232.21379638501,202.239601160102,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N56",1323.72666481183,198.633160755313,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR2N57",521.049572287121,202.292905935863,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
