"Genotype","pop","Loc","Row","Column","rep","Plot_RC_ID","Year","co_loc","in_len"
"FBR1N1","gxr","GDR_18_1","1","1","1","GDR_18_1_R1N1",2017,1,13.33333333
"FBR1N1","gxr","GDR_18_1","1","1","2","GDR_18_1_R1N1",2017,1,12.5
"FBR1N1","gxr","GDR_18_1","1","1","3","GDR_18_1_R1N1",2017,1,13.33333333
NA,NA,"GDR_18_1","1","10","1","GDR_18_1_R1N10",2017,NA,NA
NA,NA,"GDR_18_1","1","10","2","GDR_18_1_R1N10",2017,NA,NA
NA,NA,"GDR_18_1","1","10","3","GDR_18_1_R1N10",2017,NA,NA
"FBR1N11","gxr","GDR_18_1","1","11","1","GDR_18_1_R1N11",2017,1,9.090909091
"FBR1N11","gxr","GDR_18_1","1","11","2","GDR_18_1_R1N11",2017,1,11.76470588
"FBR1N11","gxr","GDR_18_1","1","11","3","GDR_18_1_R1N11",2017,1,10.52631579
"FBR1N12","gxr","GDR_18_1","1","12","1","GDR_18_1_R1N12",2017,0,22.22222222
"FBR1N12","gxr","GDR_18_1","1","12","2","GDR_18_1_R1N12",2017,0,20
"FBR1N12","gxr","GDR_18_1","1","12","3","GDR_18_1_R1N12",2017,0,25
"FBR1N13","gxr","GDR_18_1","1","13","1","GDR_18_1_R1N13",2017,0,16.66666667
"FBR1N13","gxr","GDR_18_1","1","13","2","GDR_18_1_R1N13",2017,0,18.18181818
"FBR1N13","gxr","GDR_18_1","1","13","3","GDR_18_1_R1N13",2017,0,16.66666667
"FBR1N14","gxr","GDR_18_1","1","14","1","GDR_18_1_R1N14",2017,1,14.28571429
"FBR1N14","gxr","GDR_18_1","1","14","2","GDR_18_1_R1N14",2017,1,16.66666667
"FBR1N14","gxr","GDR_18_1","1","14","3","GDR_18_1_R1N14",2017,1,16.66666667
NA,NA,"GDR_18_1","1","15","1","GDR_18_1_R1N15",2017,NA,NA
NA,NA,"GDR_18_1","1","15","2","GDR_18_1_R1N15",2017,NA,NA
NA,NA,"GDR_18_1","1","15","3","GDR_18_1_R1N15",2017,NA,NA
"FBR1N16","gxr","GDR_18_1","1","16","1","GDR_18_1_R1N16",2017,0,25
"FBR1N16","gxr","GDR_18_1","1","16","2","GDR_18_1_R1N16",2017,0,18.18181818
"FBR1N16","gxr","GDR_18_1","1","16","3","GDR_18_1_R1N16",2017,0,22.22222222
"FBR1N17","gxr","GDR_18_1","1","17","1","GDR_18_1_R1N17",2017,0,22.22222222
"FBR1N17","gxr","GDR_18_1","1","17","2","GDR_18_1_R1N17",2017,0,22.22222222
"FBR1N17","gxr","GDR_18_1","1","17","3","GDR_18_1_R1N17",2017,0,25
NA,NA,"GDR_18_1","1","18","1","GDR_18_1_R1N18",2017,NA,NA
NA,NA,"GDR_18_1","1","18","2","GDR_18_1_R1N18",2017,NA,NA
NA,NA,"GDR_18_1","1","18","3","GDR_18_1_R1N18",2017,NA,NA
"FBR1N19","gxr","GDR_18_1","1","19","1","GDR_18_1_R1N19",2017,1,14.28571429
"FBR1N19","gxr","GDR_18_1","1","19","2","GDR_18_1_R1N19",2017,1,13.33333333
"FBR1N19","gxr","GDR_18_1","1","19","3","GDR_18_1_R1N19",2017,1,15.38461538
"FBR1N2","gxr","GDR_18_1","1","2","1","GDR_18_1_R1N2",2017,1,11.11111111
"FBR1N2","gxr","GDR_18_1","1","2","2","GDR_18_1_R1N2",2017,1,11.76470588
"FBR1N2","gxr","GDR_18_1","1","2","3","GDR_18_1_R1N2",2017,1,12.5
"FBR1N20","gxr","GDR_18_1","1","20","1","GDR_18_1_R1N20",2017,1,16.66666667
"FBR1N20","gxr","GDR_18_1","1","20","2","GDR_18_1_R1N20",2017,1,15.38461538
"FBR1N20","gxr","GDR_18_1","1","20","3","GDR_18_1_R1N20",2017,1,13.33333333
"FBR1N21","gxr","GDR_18_1","1","21","1","GDR_18_1_R1N21",2017,1,13.33333333
"FBR1N21","gxr","GDR_18_1","1","21","2","GDR_18_1_R1N21",2017,1,14.28571429
"FBR1N21","gxr","GDR_18_1","1","21","3","GDR_18_1_R1N21",2017,1,13.33333333
"FBR1N22","gxr","GDR_18_1","1","22","1","GDR_18_1_R1N22",2017,0,18.18181818
"FBR1N22","gxr","GDR_18_1","1","22","2","GDR_18_1_R1N22",2017,0,18.18181818
"FBR1N22","gxr","GDR_18_1","1","22","3","GDR_18_1_R1N22",2017,0,18.18181818
"FBR1N23","gxr","GDR_18_1","1","23","1","GDR_18_1_R1N23",2017,1,13.33333333
"FBR1N23","gxr","GDR_18_1","1","23","2","GDR_18_1_R1N23",2017,1,16.66666667
"FBR1N23","gxr","GDR_18_1","1","23","3","GDR_18_1_R1N23",2017,1,18.18181818
"FBR1N24","gxr","GDR_18_1","1","24","1","GDR_18_1_R1N24",2017,0,25
"FBR1N24","gxr","GDR_18_1","1","24","2","GDR_18_1_R1N24",2017,0,22.22222222
"FBR1N24","gxr","GDR_18_1","1","24","3","GDR_18_1_R1N24",2017,0,25
"FBR1N25","gxr","GDR_18_1","1","25","1","GDR_18_1_R1N25",2017,1,12.5
"FBR1N25","gxr","GDR_18_1","1","25","2","GDR_18_1_R1N25",2017,1,13.33333333
"FBR1N25","gxr","GDR_18_1","1","25","3","GDR_18_1_R1N25",2017,1,15.38461538
NA,NA,"GDR_18_1","1","26","1","GDR_18_1_R1N26",2017,NA,NA
NA,NA,"GDR_18_1","1","26","2","GDR_18_1_R1N26",2017,NA,NA
NA,NA,"GDR_18_1","1","26","3","GDR_18_1_R1N26",2017,NA,NA
"FBR1N27","gxr","GDR_18_1","1","27","1","GDR_18_1_R1N27",2017,0,16.66666667
"FBR1N27","gxr","GDR_18_1","1","27","2","GDR_18_1_R1N27",2017,0,NA
"FBR1N27","gxr","GDR_18_1","1","27","3","GDR_18_1_R1N27",2017,0,20
"FBR1N28","gxr","GDR_18_1","1","28","1","GDR_18_1_R1N28",2017,0,20
"FBR1N28","gxr","GDR_18_1","1","28","2","GDR_18_1_R1N28",2017,0,20
"FBR1N28","gxr","GDR_18_1","1","28","3","GDR_18_1_R1N28",2017,0,20
NA,NA,"GDR_18_1","1","29","1","GDR_18_1_R1N29",2017,NA,NA
NA,NA,"GDR_18_1","1","29","2","GDR_18_1_R1N29",2017,NA,NA
NA,NA,"GDR_18_1","1","29","3","GDR_18_1_R1N29",2017,NA,NA
