"Genotype","pop","Loc","Row","Column","rep","Plot_RC_ID","Year","co_loc","tr_coni"
"FBR2N35","gxr","GDR_18_1","10","1","1","GDR_18_1_R10N1",2018,1,0.011734574
"FBR2N35","gxr","GDR_18_1","10","1","2","GDR_18_1_R10N1",2018,1,0.012650137
"FBR2N35","gxr","GDR_18_1","10","1","3","GDR_18_1_R10N1",2018,1,0.013190978
"FBR2N53","gxr","GDR_18_1","10","10","1","GDR_18_1_R10N10",2018,1,0.019266833
"FBR2N53","gxr","GDR_18_1","10","10","2","GDR_18_1_R10N10",2018,1,0.017333545
"FBR2N53","gxr","GDR_18_1","10","10","3","GDR_18_1_R10N10",2018,1,0.022689501
NA,NA,"GDR_18_1","10","11","1","GDR_18_1_R10N11",2018,NA,NA
NA,NA,"GDR_18_1","10","11","2","GDR_18_1_R10N11",2018,NA,NA
NA,NA,"GDR_18_1","10","11","3","GDR_18_1_R10N11",2018,NA,NA
"FBR2N59","gxr","GDR_18_1","10","12","1","GDR_18_1_R10N12",2018,0,0.012797265
"FBR2N59","gxr","GDR_18_1","10","12","2","GDR_18_1_R10N12",2018,0,0.010818145
"FBR2N59","gxr","GDR_18_1","10","12","3","GDR_18_1_R10N12",2018,0,0.011203084
"FBR2N61","gxr","GDR_18_1","10","13","1","GDR_18_1_R10N13",2018,1,0.008205301
"FBR2N61","gxr","GDR_18_1","10","13","2","GDR_18_1_R10N13",2018,1,0.020425473
"FBR2N61","gxr","GDR_18_1","10","13","3","GDR_18_1_R10N13",2018,1,0.012543273
NA,NA,"GDR_18_1","10","14","1","GDR_18_1_R10N14",2018,NA,NA
NA,NA,"GDR_18_1","10","14","2","GDR_18_1_R10N14",2018,NA,NA
NA,NA,"GDR_18_1","10","14","3","GDR_18_1_R10N14",2018,NA,NA
"FBR2N64","gxr","GDR_18_1","10","15","1","GDR_18_1_R10N15",2018,0,0.014676488
"FBR2N64","gxr","GDR_18_1","10","15","2","GDR_18_1_R10N15",2018,0,0.015264612
"FBR2N64","gxr","GDR_18_1","10","15","3","GDR_18_1_R10N15",2018,0,0.011226577
"FBR2N66","gxr","GDR_18_1","10","16","1","GDR_18_1_R10N16",2018,1,0.009878848
"FBR2N66","gxr","GDR_18_1","10","16","2","GDR_18_1_R10N16",2018,1,0.015249456
"FBR2N66","gxr","GDR_18_1","10","16","3","GDR_18_1_R10N16",2018,1,0.014360206
NA,NA,"GDR_18_1","10","17","1","GDR_18_1_R10N17",2018,NA,NA
NA,NA,"GDR_18_1","10","17","2","GDR_18_1_R10N17",2018,NA,NA
NA,NA,"GDR_18_1","10","17","3","GDR_18_1_R10N17",2018,NA,NA
"FBR2N72","gxr","GDR_18_1","10","18","1","GDR_18_1_R10N18",2018,0,0.008596678
"FBR2N72","gxr","GDR_18_1","10","18","2","GDR_18_1_R10N18",2018,0,0.007587635
"FBR2N72","gxr","GDR_18_1","10","18","3","GDR_18_1_R10N18",2018,0,0.015267821
"FBR2N73","gxr","GDR_18_1","10","19","1","GDR_18_1_R10N19",2018,0,0.017582798
"FBR2N73","gxr","GDR_18_1","10","19","2","GDR_18_1_R10N19",2018,0,0.013672869
"FBR2N73","gxr","GDR_18_1","10","19","3","GDR_18_1_R10N19",2018,0,0.016903229
"FBR2N37","gxr","GDR_18_1","10","2","1","GDR_18_1_R10N2",2018,1,0.011954433
"FBR2N37","gxr","GDR_18_1","10","2","2","GDR_18_1_R10N2",2018,1,0.008962988
"FBR2N37","gxr","GDR_18_1","10","2","3","GDR_18_1_R10N2",2018,1,0.019487302
NA,NA,"GDR_18_1","10","20","1","GDR_18_1_R10N20",2018,NA,NA
NA,NA,"GDR_18_1","10","20","2","GDR_18_1_R10N20",2018,NA,NA
NA,NA,"GDR_18_1","10","20","3","GDR_18_1_R10N20",2018,NA,NA
"FBR2N75","gxr","GDR_18_1","10","21","1","GDR_18_1_R10N21",2018,0,0.015225347
"FBR2N75","gxr","GDR_18_1","10","21","2","GDR_18_1_R10N21",2018,0,0.020159898
"FBR2N75","gxr","GDR_18_1","10","21","3","GDR_18_1_R10N21",2018,0,0.009942532
NA,NA,"GDR_18_1","10","22","1","GDR_18_1_R10N22",2018,NA,NA
NA,NA,"GDR_18_1","10","22","2","GDR_18_1_R10N22",2018,NA,NA
NA,NA,"GDR_18_1","10","22","3","GDR_18_1_R10N22",2018,NA,NA
"FBR2N78","gxr","GDR_18_1","10","23","1","GDR_18_1_R10N23",2018,0,0.019621805
"FBR2N78","gxr","GDR_18_1","10","23","2","GDR_18_1_R10N23",2018,0,0.019314551
"FBR2N78","gxr","GDR_18_1","10","23","3","GDR_18_1_R10N23",2018,0,0.016639555
"FBR2N81","gxr","GDR_18_1","10","24","1","GDR_18_1_R10N24",2018,0,0.028653064
"FBR2N81","gxr","GDR_18_1","10","24","2","GDR_18_1_R10N24",2018,0,0.027636531
"FBR2N81","gxr","GDR_18_1","10","24","3","GDR_18_1_R10N24",2018,0,0.011943167
"FBR2N88","gxr","GDR_18_1","10","25","1","GDR_18_1_R10N25",2018,0,0.017165079
"FBR2N88","gxr","GDR_18_1","10","25","2","GDR_18_1_R10N25",2018,0,0.019660668
"FBR2N88","gxr","GDR_18_1","10","25","3","GDR_18_1_R10N25",2018,0,0.015650651
NA,NA,"GDR_18_1","10","26","1","GDR_18_1_R10N26",2018,NA,NA
NA,NA,"GDR_18_1","10","26","2","GDR_18_1_R10N26",2018,NA,NA
NA,NA,"GDR_18_1","10","26","3","GDR_18_1_R10N26",2018,NA,NA
NA,NA,"GDR_18_1","10","27","1","GDR_18_1_R10N27",2018,NA,NA
NA,NA,"GDR_18_1","10","27","2","GDR_18_1_R10N27",2018,NA,NA
NA,NA,"GDR_18_1","10","27","3","GDR_18_1_R10N27",2018,NA,NA
NA,NA,"GDR_18_1","10","28","1","GDR_18_1_R10N28",2018,NA,NA
NA,NA,"GDR_18_1","10","28","2","GDR_18_1_R10N28",2018,NA,NA
NA,NA,"GDR_18_1","10","28","3","GDR_18_1_R10N28",2018,NA,NA
NA,NA,"GDR_18_1","10","29","1","GDR_18_1_R10N29",2018,NA,NA
NA,NA,"GDR_18_1","10","29","2","GDR_18_1_R10N29",2018,NA,NA
NA,NA,"GDR_18_1","10","29","3","GDR_18_1_R10N29",2018,NA,NA
"FBR2N40","gxr","GDR_18_1","10","3","1","GDR_18_1_R10N3",2018,1,0.024372978
"FBR2N40","gxr","GDR_18_1","10","3","2","GDR_18_1_R10N3",2018,1,0.016075032
"FBR2N40","gxr","GDR_18_1","10","3","3","GDR_18_1_R10N3",2018,1,0.016026319
NA,NA,"GDR_18_1","10","30","1","GDR_18_1_R10N30",2018,NA,NA
NA,NA,"GDR_18_1","10","30","2","GDR_18_1_R10N30",2018,NA,NA
NA,NA,"GDR_18_1","10","30","3","GDR_18_1_R10N30",2018,NA,NA
NA,NA,"GDR_18_1","10","31","1","GDR_18_1_R10N31",2018,NA,NA
NA,NA,"GDR_18_1","10","31","2","GDR_18_1_R10N31",2018,NA,NA
NA,NA,"GDR_18_1","10","31","3","GDR_18_1_R10N31",2018,NA,NA
NA,NA,"GDR_18_1","10","32","1","GDR_18_1_R10N32",2018,NA,NA
NA,NA,"GDR_18_1","10","32","2","GDR_18_1_R10N32",2018,NA,NA
NA,NA,"GDR_18_1","10","32","3","GDR_18_1_R10N32",2018,NA,NA
