"Genotype","pop","Loc","Row","Column","rep","Plot_RC_ID","Year","co_loc","tr_len"
"FBR1N1","gxr","GDR_18_1","1","1","1","GDR_18_1_R1N1",2017,1,960
"FBR1N1","gxr","GDR_18_1","1","1","2","GDR_18_1_R1N1",2017,1,1075
"FBR1N1","gxr","GDR_18_1","1","1","3","GDR_18_1_R1N1",2017,1,1140
NA,NA,"GDR_18_1","1","10","1","GDR_18_1_R1N10",2017,NA,NA
NA,NA,"GDR_18_1","1","10","2","GDR_18_1_R1N10",2017,NA,NA
NA,NA,"GDR_18_1","1","10","3","GDR_18_1_R1N10",2017,NA,NA
"FBR1N11","gxr","GDR_18_1","1","11","1","GDR_18_1_R1N11",2017,1,620
"FBR1N11","gxr","GDR_18_1","1","11","2","GDR_18_1_R1N11",2017,1,845
"FBR1N11","gxr","GDR_18_1","1","11","3","GDR_18_1_R1N11",2017,1,840
"FBR1N12","gxr","GDR_18_1","1","12","1","GDR_18_1_R1N12",2017,0,1740
"FBR1N12","gxr","GDR_18_1","1","12","2","GDR_18_1_R1N12",2017,0,1330
"FBR1N12","gxr","GDR_18_1","1","12","3","GDR_18_1_R1N12",2017,0,1270
"FBR1N13","gxr","GDR_18_1","1","13","1","GDR_18_1_R1N13",2017,0,1315
"FBR1N13","gxr","GDR_18_1","1","13","2","GDR_18_1_R1N13",2017,0,1430
"FBR1N13","gxr","GDR_18_1","1","13","3","GDR_18_1_R1N13",2017,0,1205
"FBR1N14","gxr","GDR_18_1","1","14","1","GDR_18_1_R1N14",2017,1,980
"FBR1N14","gxr","GDR_18_1","1","14","2","GDR_18_1_R1N14",2017,1,865
"FBR1N14","gxr","GDR_18_1","1","14","3","GDR_18_1_R1N14",2017,1,900
NA,NA,"GDR_18_1","1","15","1","GDR_18_1_R1N15",2017,NA,NA
NA,NA,"GDR_18_1","1","15","2","GDR_18_1_R1N15",2017,NA,NA
NA,NA,"GDR_18_1","1","15","3","GDR_18_1_R1N15",2017,NA,NA
"FBR1N16","gxr","GDR_18_1","1","16","1","GDR_18_1_R1N16",2017,0,1181
"FBR1N16","gxr","GDR_18_1","1","16","2","GDR_18_1_R1N16",2017,0,900
"FBR1N16","gxr","GDR_18_1","1","16","3","GDR_18_1_R1N16",2017,0,1295
"FBR1N17","gxr","GDR_18_1","1","17","1","GDR_18_1_R1N17",2017,0,1515
"FBR1N17","gxr","GDR_18_1","1","17","2","GDR_18_1_R1N17",2017,0,1270
"FBR1N17","gxr","GDR_18_1","1","17","3","GDR_18_1_R1N17",2017,0,1560
NA,NA,"GDR_18_1","1","18","1","GDR_18_1_R1N18",2017,NA,NA
NA,NA,"GDR_18_1","1","18","2","GDR_18_1_R1N18",2017,NA,NA
NA,NA,"GDR_18_1","1","18","3","GDR_18_1_R1N18",2017,NA,NA
"FBR1N19","gxr","GDR_18_1","1","19","1","GDR_18_1_R1N19",2017,1,874
"FBR1N19","gxr","GDR_18_1","1","19","2","GDR_18_1_R1N19",2017,1,815
"FBR1N19","gxr","GDR_18_1","1","19","3","GDR_18_1_R1N19",2017,1,765
"FBR1N2","gxr","GDR_18_1","1","2","1","GDR_18_1_R1N2",2017,1,850
"FBR1N2","gxr","GDR_18_1","1","2","2","GDR_18_1_R1N2",2017,1,870
"FBR1N2","gxr","GDR_18_1","1","2","3","GDR_18_1_R1N2",2017,1,940
"FBR1N20","gxr","GDR_18_1","1","20","1","GDR_18_1_R1N20",2017,1,926
"FBR1N20","gxr","GDR_18_1","1","20","2","GDR_18_1_R1N20",2017,1,923
"FBR1N20","gxr","GDR_18_1","1","20","3","GDR_18_1_R1N20",2017,1,903
"FBR1N21","gxr","GDR_18_1","1","21","1","GDR_18_1_R1N21",2017,1,696
"FBR1N21","gxr","GDR_18_1","1","21","2","GDR_18_1_R1N21",2017,1,850
"FBR1N21","gxr","GDR_18_1","1","21","3","GDR_18_1_R1N21",2017,1,1149
"FBR1N22","gxr","GDR_18_1","1","22","1","GDR_18_1_R1N22",2017,0,1279
"FBR1N22","gxr","GDR_18_1","1","22","2","GDR_18_1_R1N22",2017,0,1228
"FBR1N22","gxr","GDR_18_1","1","22","3","GDR_18_1_R1N22",2017,0,1308
"FBR1N23","gxr","GDR_18_1","1","23","1","GDR_18_1_R1N23",2017,1,1200
"FBR1N23","gxr","GDR_18_1","1","23","2","GDR_18_1_R1N23",2017,1,1280
"FBR1N23","gxr","GDR_18_1","1","23","3","GDR_18_1_R1N23",2017,1,1545
"FBR1N24","gxr","GDR_18_1","1","24","1","GDR_18_1_R1N24",2017,0,1670
"FBR1N24","gxr","GDR_18_1","1","24","2","GDR_18_1_R1N24",2017,0,1650
"FBR1N24","gxr","GDR_18_1","1","24","3","GDR_18_1_R1N24",2017,0,1695
"FBR1N25","gxr","GDR_18_1","1","25","1","GDR_18_1_R1N25",2017,1,1105
"FBR1N25","gxr","GDR_18_1","1","25","2","GDR_18_1_R1N25",2017,1,1085
"FBR1N25","gxr","GDR_18_1","1","25","3","GDR_18_1_R1N25",2017,1,1185
NA,NA,"GDR_18_1","1","26","1","GDR_18_1_R1N26",2017,NA,NA
NA,NA,"GDR_18_1","1","26","2","GDR_18_1_R1N26",2017,NA,NA
NA,NA,"GDR_18_1","1","26","3","GDR_18_1_R1N26",2017,NA,NA
"FBR1N27","gxr","GDR_18_1","1","27","1","GDR_18_1_R1N27",2017,0,1415
"FBR1N27","gxr","GDR_18_1","1","27","2","GDR_18_1_R1N27",2017,0,1445
"FBR1N27","gxr","GDR_18_1","1","27","3","GDR_18_1_R1N27",2017,0,1340
"FBR1N28","gxr","GDR_18_1","1","28","1","GDR_18_1_R1N28",2017,0,1630
"FBR1N28","gxr","GDR_18_1","1","28","2","GDR_18_1_R1N28",2017,0,1555
"FBR1N28","gxr","GDR_18_1","1","28","3","GDR_18_1_R1N28",2017,0,1590
NA,NA,"GDR_18_1","1","29","1","GDR_18_1_R1N29",2017,NA,NA
