SNP,Chr,Pos,P.value,MAF,nobs,effect,H&B.P.Value,Phenotype_Variance_Explained(%)
AX-115468010,1,17044232,0.0000000000000000000000000000000000176012810057354,320,0.0556731824410863,0.4015625,0.000000000000000000000000000000511634036274716,3.6688546925511
AX-115277974,1,28127920,0.0000000545924542411983,320,-0.0184593386305812,0.41875,0.000158689345988315,0.9984503230924
AX-115193569,3,14389569,0.000000000254555653258811,320,0.0397418040751166,0.167022205588822,0.00000105706053270387,0.21955935043837
AX-115611888,3,27464508,0.0000000832311781498594,320,-0.0234604585799881,0.440224358974359,0.000219942171496374,1.83316233465866
AX-115194190,4,5273861,0.0000000113642101043789,320,0.0198997873431251,0.498258752465483,0.0000412918574142609,0.588503435131996
AX-115314369,5,30272303,0.0000000246299719970557,320,-0.0394653587127247,0.2953125,0.0000795493362233794,32.7801296558556
AX-115196942,7,4727842,0.00000167373654741906,320,0.0268960761287979,0.4390625,0.00324347826402515,0.00000000766109538005387
AX-115538606,7,32717730,0.00000000000000000000324199964465119,320,-0.0264722147516753,0.466960685483871,0.0000000000000000471192228353604,0.0000000575464120294861
AX-115184758,10,37603473,0.000000000000000150163920296407,320,-0.0469862224712508,0.20625,0.00000000000122012618772224,0
AX-115245758,11,21001404,0.00000000000000158228984830855,320,-0.0567706761638759,0.390129798228346,0.00000000000919880026212659,5.70771011016834
AX-115184315,11,35241884,0.000000000178441174780963,320,0.0336122324581432,0.1203125,0.000000864488011422171,4.4175400430106
AX-115597843,15,26338065,0.000000000000000167899571724541,320,-0.0354213187130101,0.382255782480315,0.00000000000122012618772224,0
AX-115218652,16,4470871,0.000000100298557479551,320,-0.017499838694487,0.36675688976378,0.000242956539067965,7.26959249264095
AX-115466057,17,9818518,0.000000180818731192397,320,0.0220479600794223,0.359381275100402,0.000404310682946199,0.660448172729111
AX-635450909,17,30555189,0.000000981648985106264,320,0.03251117655419,0.225753012048193,0.00203818376421921,0.0000542143017005078
