"Df","Sum of Sq","Wald statistic","Pr(Chisq)","Effect","FDR_BH"
1,3129.47287876589,3129.47287876589,0,"(Intercept)",NA
2,50.6276534441419,50.6276534441419,0.000000000010147216400469,"pop",NA
1,0.133112949095448,0.133112949095448,0.715226012057381,"co_loc",NA
1,9.42906337251001,9.42906337251001,0.00213573341577511,"AX.115286231",0.0429709563253952
1,3.05047962252508,3.05047962252508,0.0807133037149935,"AX.115192211",0.349415339107154
1,15.5191453351727,15.5191453351727,0.0000816738460759359,"AX.115543661",0.00513524307202447
1,4.0966903475059,4.0966903475059,0.0429672453786255,"AX.105205016",0.256825221863298
1,12.3592502276241,12.3592502276241,0.000438806879529574,"AX.115299949",0.0169784508002597
1,0.425467536930578,0.425467536930578,0.514221381144901,"AX.635456627",0.800784379925342
1,5.15018031267622,5.15018031267622,0.0232439592846622,"AX.115523268",0.174503157017688
1,16.2930957891953,16.2930957891953,0.0000542612964996581,"AX.115387642",0.00389906173418971
1,4.31244933678736,4.31244933678736,0.0378344501828159,"AX.635436323",0.240952535142983
1,26.9713780615485,26.9713780615485,0.000000206490599397036,"AX.115324345",0.0000519323857483545
1,14.8424995516633,14.8424995516633,0.000116871908657168,"AX.115604410",0.00558764913099154
1,11.9335471997618,11.9335471997618,0.000551321037350672,"AX.115196498",0.0180918459156439
1,21.7128830312722,21.7128830312722,0.00000316657545529342,"AX.115196627",0.000318557490802518
1,8.0882837126985,8.0882837126985,0.00445523332686548,"AX.115192862",0.0722897536584948
1,10.1232468075904,10.1232468075904,0.00146410857466195,"AX.635440051",0.0334748460479527
1,11.7833982591138,11.7833982591138,0.000597612903047939,"AX.115329783",0.0180918459156439
1,0.0861015437869124,0.0861015437869124,0.769193004006138,"AX.115487380",0.904428923777235
1,8.54907755307323,8.54907755307323,0.00345697361112085,"AX.115270580",0.0605321698402285
1,7.4300895643669,7.4300895643669,0.00641421492799754,"AX.115480508",0.0933566210922919
1,2.59042931777887,2.59042931777887,0.107511190784406,"AX.115220559",0.392197893851623
1,4.62047872012092,4.62047872012092,0.0315924198332784,"AX.115588190",0.214743069947825
1,7.3768310030664,7.3768310030664,0.00660694884478485,"AX.115481149",0.0933566210922919
1,22.3442034988966,22.3442034988966,0.00000227899889504446,"AX.115395448",0.000286584111051841
1,2.40037257592964,2.40037257592964,0.121306356299453,"AX.105213082",0.415082294004252
1,6.99968880904562,6.99968880904562,0.008152388678624,"AX.115517588",0.100015890374338
1,2.79763508192965,2.79763508192965,0.0944034569076847,"AX.635443693",0.378609153563606
1,23.1010519298856,23.1010519298856,0.00000153706585126479,"AX.115186264",0.000257714707728729
1,3.73348424706573,3.73348424706573,0.0533320346090373,"AX.115400610",0.298066815648287
1,3.14418147284042,3.14418147284042,0.0761982235874175,"AX.115447814",0.345158785776402
1,11.5359894588801,11.5359894588801,0.000682617372491867,"AX.115187979",0.0190753632424116
1,2.40703003594114,2.40703003594114,0.120791339082836,"AX.635456588",0.415082294004252
1,9.10802684338903,9.10802684338903,0.00254490244107419,"AX.115475792",0.0482197096696349
1,6.1644403487974,6.1644403487974,0.0130343604055326,"AX.115331659",0.131512804295371
1,1.42597144314493,1.42597144314493,0.232423027911878,"AX.115480864",0.593253062896863
1,52.761965613636,52.761965613636,0.000000000000376476627650391,"AX.115464436",0.000000000189367743708146
1,3.89796102863286,3.89796102863286,0.0483447475240898,"AX.115656788",0.27633418187065
1,14.9948634869265,14.9948634869265,0.000107804211549767,"AX.115404032",0.00558764913099154
1,1.36076981194015,1.36076981194015,0.24340411102552,"AX.115459681",0.60311461993023
1,8.24228915270765,8.24228915270765,0.00409254849437646,"AX.115190780",0.0686183964223786
1,6.30069432616869,6.30069432616869,0.0120690691245555,"AX.115518842",0.128465795971895
1,7.12822206469886,7.12822206469886,0.00758799316344949,"AX.115478990",0.0990707742097638
1,16.3011044253379,16.3011044253379,0.0000540324504251233,"AX.115191961",0.00389906173418971
1,0.0327555152230721,0.0327555152230721,0.856379469119756,"co_loc:AX.115286231",0.939534474404731
1,0.232495987680068,0.232495987680068,0.629679235705784,"co_loc:AX.115192211",0.864122162796683
1,0.000227255361096468,0.000227255361096468,0.987972352789408,"co_loc:AX.115543661",0.991916354197749
1,2.43448559181252,2.43448559181252,0.11869282576999,"co_loc:AX.105205016",0.415082294004252
1,0.198552447284783,0.198552447284783,0.655891814621247,"co_loc:AX.115299949",0.868550007638336
1,0.00334972951941381,0.00334972951941381,0.953846724924862,"co_loc:AX.635456627",0.989247221932382
1,6.12798951235118,6.12798951235118,0.0133058095781926,"co_loc:AX.115523268",0.131512804295371
1,1.67184796085758,1.67184796085758,0.196011198078943,"co_loc:AX.115387642",0.545610634751495
1,0.379434383401531,0.379434383401531,0.537906100297389,"co_loc:AX.635436323",0.817422261176999
1,5.46203195832732,5.46203195832732,0.0194340345331038,"co_loc:AX.115324345",0.155911770444886
1,0.108661411073854,0.108661411073854,0.741673276857958,"co_loc:AX.115604410",0.894632274003724
1,3.36139538976249,3.36139538976249,0.0667414934626587,"co_loc:AX.115196498",0.33250321982347
1,0.724293409703705,0.724293409703705,0.39473919385466,"co_loc:AX.115196627",0.716465607189127
1,0.413659582797436,0.413659582797436,0.520117865641853,"co_loc:AX.115192862",0.804982419747238
1,0.793337380396224,0.793337380396224,0.373092878947964,"co_loc:AX.635440051",0.706723189837232
