"Df","Sum of Sq","Wald statistic","Pr(Chisq)","Effect","FDR_BH"
1,13282.134057109,13282.134057109,0,"(Intercept)",NA
2,44.7764788904806,44.7764788904806,0.00000000018919565913933,"pop",NA
1,0.595473621296378,0.595473621296378,0.440310274738517,"co_loc",NA
1,3.49320500699105,3.49320500699105,0.0616211764852457,"AX.635436512",0.285698181886139
1,2.83504863184157,2.83504863184157,0.0922280091470368,"AX.115246274",0.310536151308964
1,6.90456530955726,6.90456530955726,0.00859759269659699,"AX.115306042",0.0876954455052893
1,4.06933927959267,4.06933927959267,0.0436683520914747,"AX.635457707",0.285698181886139
1,8.0375184349225,8.0375184349225,0.00458182628061721,"AX.115248616",0.0584182850778694
1,14.2293934648644,14.2293934648644,0.000161823011819773,"AX.105189481",0.00412648680140421
1,10.6420939022635,10.6420939022635,0.00110542446149975,"AX.115537329",0.0187922158454957
1,3.7372872273279,3.7372872273279,0.0532107689540303,"AX.115546118",0.285698181886139
1,36.2215079984312,36.2215079984312,0.0000000017611608837953,"co_loc:AX.115182881",0.0000000898192050735602
1,1.04377891707099,1.04377891707099,0.306944221557114,"co_loc:AX.635436512",0.711552513609672
1,0.00536510435699711,0.00536510435699711,0.941609667530381,"co_loc:AX.115246274",0.976070507602885
1,0.34925233395461,0.34925233395461,0.554536671092061,"co_loc:AX.115306042",0.768939073252916
1,0.0194673091957611,0.0194673091957611,0.889035065368744,"co_loc:AX.635457707",0.972008123898924
1,0.0171620316286862,0.0171620316286862,0.895772192612734,"co_loc:AX.115248616",0.972008123898924
1,2.74722949478178,2.74722949478178,0.0974231062930082,"co_loc:AX.105189481",0.310536151308964
1,0.29345926469864,0.29345926469864,0.588012232487524,"co_loc:AX.115537329",0.768939073252916
1,0.07356502341122,0.07356502341122,0.786215118327321,"co_loc:AX.115546118",0.929633860183749
1,0.491805542349539,0.491805542349539,0.483122997018351,"AX.115182881:AX.115246274",0.768939073252916
1,3.83404078185458,3.83404078185458,0.0502217198051906,"AX.115182881:AX.115306042",0.285698181886139
1,2.31727961482193,2.31727961482193,0.127943608556956,"AX.115182881:AX.635457707",0.383830825670868
1,0.611791032549036,0.611791032549036,0.434114250622908,"AX.115182881:AX.115248616",0.768939073252916
1,2.9632888182955,2.9632888182955,0.0851745321698937,"AX.115182881:AX.115537329",0.310278652904613
1,3.27932527329449,3.27932527329449,0.0701577662277434,"AX.115182881:AX.115546118",0.289055038866243
1,3.19905803543293,3.19905803543293,0.0736806961815913,"AX.635436512:AX.115246274",0.289055038866243
1,3.53609625691411,3.53609625691411,0.0600466278509008,"AX.635436512:AX.115306042",0.285698181886139
1,0.00291644654271295,0.00291644654271295,0.956931870198907,"AX.635436512:AX.635457707",0.976070507602885
1,0.312621830252283,0.312621830252283,0.576075764298256,"AX.635436512:AX.115248616",0.768939073252916
1,0.0517476248535331,0.0517476248535331,0.820049708487146,"AX.635436512:AX.105189481",0.929633860183749
1,0.224859199498951,0.224859199498951,0.635362135581465,"AX.635436512:AX.115537329",0.790328510113529
1,0.296403447629245,0.296403447629245,0.58614597093233,"AX.635436512:AX.115546118",0.768939073252916
1,0.740699574710106,0.740699574710106,0.389436871524242,"AX.115246274:AX.115306042",0.763895401836013
1,0.890532736815885,0.890532736815885,0.345332982123548,"AX.115246274:AX.635457707",0.73383258701254
1,0.533119852784466,0.533119852784466,0.465298153895279,"AX.115246274:AX.115248616",0.768939073252916
1,0.422197264243778,0.422197264243778,0.515842683465295,"AX.115246274:AX.105189481",0.768939073252916
1,0.00018885626991505,0.00018885626991505,0.989035417600739,"AX.115246274:AX.115537329",0.989035417600739
1,0.458358069183532,0.458358069183532,0.498392333042895,"AX.115246274:AX.115546118",0.768939073252916
1,0.799938786646635,0.799938786646635,0.371111671937977,"AX.115306042:AX.635457707",0.757067810753473
1,0.234370133833181,0.234370133833181,0.628302203742325,"AX.115306042:AX.115248616",0.790328510113529
1,0.531428998240472,0.531428998240472,0.466006697839229,"AX.115306042:AX.105189481",0.768939073252916
1,1.76144439357381,1.76144439357381,0.184444456863011,"AX.115306042:AX.115537329",0.522592627778531
1,1.09422846608231,1.09422846608231,0.295536212931346,"AX.115306042:AX.115546118",0.711552513609672
1,1.42653617077258,1.42653617077258,0.232330570098356,"AX.635457707:AX.115248616",0.592442953750807
1,0.0516216264827563,0.0516216264827563,0.820265170750367,"AX.635457707:AX.105189481",0.929633860183749
1,0.942346679464208,0.942346679464208,0.331675065592363,"AX.635457707:AX.115537329",0.73383258701254
1,1.60611417598921,1.60611417598921,0.205038890537088,"AX.635457707:AX.115546118",0.550367548283764
1,3.50096932407882,3.50096932407882,0.0613329208762886,"AX.115248616:AX.105189481",0.285698181886139
1,0.352379848831106,0.352379848831106,0.552769037175453,"AX.115248616:AX.115537329",0.768939073252916
1,0.0673773600003642,0.0673773600003642,0.795194328013959,"AX.115248616:AX.115546118",0.929633860183749
1,0.301665211845147,0.301665211845147,0.582840360961703,"AX.105189481:AX.115537329",0.768939073252916
1,0.00938321982675916,0.00938321982675916,0.922831998753945,"AX.105189481:AX.115546118",0.976070507602885
1,0.403706279758808,0.403706279758808,0.525181360389287,"AX.115537329:AX.115546118",0.768939073252916
NA,1,NA,NA,"residual (MS)",NA
